Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0.7343131571443434,0.9876400452436516,-0.00894024231264185,0.0047415734940423095,-0.06039005341654099,1.285207519556169,0.8050119493596269
0.734389341397436,0.9876354591582066,-0.008842024785385089,0.004802739869715904,-0.06000308882989935,1.293221226599516,0.8007151490648552
0.7344649655328139,0.9876309362714586,-0.008743923769110361,0.004863127940780478,-0.059610369876814784,1.301223212516983,0.796321430190908
0.7345400368991976,0.9876264761429483,-0.008645939579005987,0.004922741119787997,-0.05921187277299015,1.3092119754172047,0.7918303854876623
0.7346145627579427,0.9876220783382391,-0.008548072560824857,0.00498158278413027,-0.05880757547647355,1.3171859904979242,0.7872416358654895
0.7346885501901613,0.9876177424342722,-0.008450323215722226,0.005039656203661911,-0.05839745827266323,1.3251437003694042,0.7825548373898185
0.7347620062283313,0.9876134680114703,-0.00835269203026514,0.005096964645647495,-0.057981503142190985,1.3330835294465755,0.7777696744657917
0.7348349376870521,0.9876092546634798,-0.00825517970361505,0.005153511243521351,-0.05755969479357269,1.3410038660598067,0.7728858720398598
0.7349073512186866,0.9876051019936305,-0.008157787079396647,0.005209299043400171,-0.057132020478349935,1.3489030686966068,0.7679031939953653
0.7349792534512917,0.9876010096068588,-0.008060514963247249,0.005264331111924523,-0.0566984692663362,1.3567794815177043,0.7628214350771765
0.7350506507601545,0.9875969771225978,-0.007963364433830607,0.00531861036238959,-0.05625903349662452,1.3646314099243761,0.7576404382076389
0.7351215494529838,0.9875930041639703,-0.007866336596867805,0.005372139699300943,-0.05581370777687027,1.3724571413506856,0.752360083210371
0.7351919556138061,0.9875890903663611,-0.007769432801500746,0.005424921902320079,-0.05536249005230884,1.3802549287149228,0.7469802998367893
0.7352618752400251,0.987585235369461,-0.007672654457005332,0.005476959732756187,-0.05490538085970367,1.3880230062215517,0.7415010593587098
0.7353313141794572,0.987581438820567,-0.0075760031222425975,0.005528255888535178,-0.05444238382258679,1.3957595832089882,0.7359223808314191
0.7354002781244949,0.9875777003746179,-0.007479480517818593,0.005578813003091692,-0.05397350580336829,1.403462844338674,0.7302443333413406
